Roll No.,Name,WT,CC,DSBD,AI,Total,Status
CE01,Neha,100.0,49.0,94.0,79.0,322,Fail
CE02,Rahul,60.0,,28.0,41.0,214,Fail
CE03,Sonal,72.0,,93.0,40.0,301,Pass
CE04,Akhil,69.0,64.0,77.0,26.0,236,Pass
CE05,Preeti,76.0,48.0,83.0,36.0,243,Pass
CE06,Kavya,89.0,83.0,48.0,92.0,312,Pass
CE07,Krishna,59.0,36.0,82.0,83.0,260,Pass
CE08,Sunita,56.0,84.0,71.0,44.0,255,Pass
CE09,Suresh,70.0,72.0,54.0,83.0,279,Pass
CE10,Amit,70.0,,59.0,46.0,248,Pass
CE11,Siddharth,83.0,48.0,70.0,54.0,255,Pass
CE12,Harsh,42.0,36.0,51.0,59.0,188,Pass
CE13,Manoj,24.0,62.0,55.0,42.0,183,Pass
CE14,Yash,56.0,28.0,83.0,32.0,199,Pass
CE15,Arjun,68.0,56.0,88.0,63.0,275,Pass
CE16,Swati,92.0,23.0,92.0,,242,Pass
CE17,Vihaan,52.0,29.0,84.0,28.0,193,Pass
CE18,Deepa,92.0,89.0,89.0,62.0,332,Pass
CE19,Nisha,55.0,66.0,34.0,55.0,210,Pass
CE20,Chetan,62.0,54.0,77.0,49.0,242,Pass
CE21,Vivaan,47.0,31.0,62.0,43.0,183,Fail
CE22,Ayaan,70.0,89.0,24.0,21.0,204,Pass
CE23,Riya,95.0,68.0,86.0,59.0,308,Pass
CE24,Tanya,27.0,68.0,57.0,45.0,197,Pass
CE25,Aditya,76.0,47.0,63.0,63.0,249,Pass
CE26,Aarav,63.0,40.0,96.0,58.0,257,Pass
CE27,Meera,75.0,79.0,62.0,70.0,286,Pass
CE28,Priya,45.0,90.0,97.0,86.0,318,Pass
CE29,Ankur,61.0,88.0,55.0,57.0,261,Fail
CE30,Radhika,45.0,91.0,56.0,81.0,273,Pass
CE31,Ishaan,55.0,81.0,87.0,48.0,271,Pass
CE32,Ravi,56.0,84.0,93.0,91.0,324,Pass
CE33,Anil,21.0,79.0,73.0,96.0,269,Pass
CE34,Akhil,31.0,41.0,,,206,Pass
CE35,Sneha,89.0,31.0,58.0,53.0,231,Pass
CE36,Sanjay,71.0,65.0,57.0,27.0,220,Fail
CE37,Dinesh,52.0,58.0,52.0,25.0,187,Pass
CE38,Rohan,50.0,73.0,64.0,53.0,240,Pass
CE39,Pooja,31.0,68.0,93.0,21.0,213,Fail
CE40,Vikas,,22.0,69.0,31.0,215,Pass
CE41,Kabir,84.0,82.0,85.0,51.0,302,Pass
CE42,Bhavna,37.0,,25.0,,122,Fail
CE43,Sanya,55.0,42.0,60.0,37.0,194,Pass
CE44,Vivek,84.0,21.0,60.0,89.0,254,Fail
CE45,Gauri,85.0,70.0,41.0,81.0,277,Fail
CE46,Kunal,22.0,79.0,92.0,44.0,237,Pass
CE47,Ananya,84.0,62.0,40.0,62.0,248,Pass
CE48,Sai,,92.0,24.0,94.0,255,Pass
CE49,Mansi,93.0,86.0,48.0,52.0,279,Pass
CE50,Dev,51.0,77.0,74.0,66.0,268,Pass
